310,2654.5,52.486,665.21,8006.43
311,2663.1,52.870,666.13,7901.47
312,2671.7,53.384,666.46,7762.08
313,2680.2,53.732,667.72,7668.57
314,2688.8,54.111,668.45,7566.97
315,2697.4,54.268,668.86,7525.02
316,2706.0,54.537,669.57,7453.61
317,2714.6,54.915,670.32,7353.51
318,2723.2,55.239,670.85,7268.11
319,2731.8,55.563,671.39,7183.40
320,2740.3,55.941,672.28,7084.80
321,2748.9,55.989,673.07,7072.42
322,2757.5,56.478,673.66,6945.72
323,2766.1,56.858,674.40,6848.10
324,2774.7,57.126,674.98,6779.35
325,2783.3,57.616,675.53,6654.72
326,2791.8,57.718,676.14,6613.90
327,2800.4,57.777,676.85,6628.73
328,2809.0,58.413,677.47,6453.40
329,2818.0,58.746,678.14,6370.14
330,2826.2,59.079,678.47,6287.29
331,2834.8,59.000,679.50,6192.93
332,2843.4,59.548,680.33,6171.01
333,2851.9,60.027,681.21,6053.06
334,2860.5,60.311,681.67,5983.52
335,2869.1,60.691,682.14,5890.65
336,2877.7,61.170,682.87,5774.59
337,2886.3,61.210,683.39,5764.97
338,2894.9,61.592,684.13,5672.94
339,2903.5,61.924,684.74,5593.33
340,2912.0,62.207,685.20,5525.52
341,2920.6,62.540,685.98,5446.31
342,2929.2,63.067,686.75,5321.64
343,2937.8,63.011,687.35,5334.87
344,2946.4,63.428,687.82,5236.68
345,2955.0,63.793,688.51,5151.24
346,2963.5,64.111,689.16,5077.08
347,2972.1,64.429,689.88,5003.20
348,2980.7,64.887,690.51,4897.31
349,2989.3,64.880,691.13,4898.91
350,2997.9,65.338,691.72,4793.55
351,3006.5,65.703,692.68,4710.01
352,3015.1,65.976,693.29,4647.97
353,3023.6,66.387,693.89,4554.64
354,3032.2,66.892,694.44,4440.64
355,3040.8,66.884,695.10,4442.40
356,3049.4,67.343,695.99,4339.29
357,3058.0,67.709,696.61,4257.68
358,3066.6,68.044,697.02,4183.10
359,3075.2,68.331,697.46,4119.45
360,3083.7,68.728,698.23,4031.74
361,3092.3,68.758,698.85,4025.28
362,3100.9,69.045,699.57,3962.07
363,3109.5,69.369,700.20,3890.97
364,3118.1,69.657,700.75,3828.19
365,3126.7,69.981,701.13,3757.58
366,3135.2,70.305,701.91,3687.45
367,3143.8,70.519,702.70,3641.08
368,3152.4,70.807,703.29,3579.06
369,3161.0,71.130,703.74,3509.51
370,3169.6,71.450,704.06,3440.02
371,3178.2,71.779,705.08,3370.37
372,3186.8,72.104,705.77,3301.74
373,3195.3,72.391,706.56,3240.79
374,3203.9,72.569,707.02,3203.20
375,3212.5,72.964,707.38,3120.00
