S,3212,40.969,955.666,0.280,401.46,0.03,2.923951,0.001066,3.80610,0.00112,64.391,131.597,110.383,21.784,73324.339
S,3212,41.024,950.677,0.283,401.07,0.03,2.905861,0.001074,3.78623,0.00113,64.408,131.573,110.375,21.785,73324.011
S,3212,41.075,945.945,0.282,400.71,0.03,2.888795,0.001066,3.76739,0.00112,64.424,131.550,110.367,21.787,73323.684
S,3212,41.124,941.483,0.285,400.37,0.03,2.872761,0.001077,3.74962,0.00114,64.441,131.528,110.360,21.789,73323.356
S,3212,41.171,937.199,0.287,400.05,0.03,2.857386,0.001083,3.73255,0.00114,64.457,131.504,110.352,21.790,73323.028
S,3212,41.224,932.412,0.283,399.69,0.03,2.840209,0.001065,3.71349,0.00113,64.474,131.481,110.345,21.792,73322.700
S,3212,41.279,927.398,0.286,399.31,0.03,2.822300,0.001072,3.69352,0.00114,64.490,131.458,110.337,21.793,73322.373
S,3212,41.328,922.974,0.290,399.00,0.03,2.806599,0.001081,3.67590,0.00115,64.507,131.435,110.329,21.795,73322.045
S,3212,41.372,918.983,0.286,398.71,0.03,2.792473,0.001068,3.66001,0.00114,64.523,131.412,110.322,21.796,73321.717
S,3212,41.422,914.480,0.282,398.39,0.03,2.776512,0.001050,3.64207,0.00112,64.540,131.388,110.314,21.798,73321.390
S,3212,41.477,909.510,0.280,398.03,0.03,2.758971,0.001032,3.62228,0.00111,64.556,131.365,110.307,21.799,73321.062
S,3212,41.526,905.007,0.274,397.73,0.03,2.743242,0.001005,3.60434,0.00109,64.573,131.342,110.299,21.801,73320.734
S,3212,41.571,900.933,0.256,397.48,0.03,2.729145,0.000947,3.58812,0.00102,64.593,131.313,110.290,21.803,73320.325
S,3212,41.615,897.007,0.260,397.22,0.03,2.715505,0.000976,3.57248,0.00104,64.618,131.277,110.278,21.805,73319.833
S,3212,41.665,892.629,0.261,396.89,0.03,2.700017,0.000983,3.55505,0.00104,64.638,131.248,110.269,21.807,73319.424
S,3212,41.715,888.224,0.252,396.54,0.03,2.684318,0.000951,3.53750,0.00101,64.655,131.225,110.261,21.809,73319.096
S,3212,41.767,883.729,0.245,396.18,0.03,2.668309,0.000920,3.51960,0.00097,64.671,131.201,110.254,21.810,73318.768
S,3212,41.820,879.176,0.234,395.82,0.03,2.652112,0.000879,3.50147,0.00093,64.687,131.178,110.246,21.812,73318.441
S,3212,41.875,874.397,0.230,395.44,0.03,2.635153,0.000864,3.48244,0.00092,64.704,131.154,110.238,21.813,73318.113
S,3212,41.929,869.788,0.236,395.08,0.03,2.618884,0.000884,3.46408,0.00094,64.720,131.131,110.231,21.815,73317.785
S,3212,41.973,865.949,0.240,394.79,0.03,2.605411,0.000901,3.44879,0.00096,64.737,131.107,110.223,21.817,73317.458
S,3212,42.014,862.499,0.232,394.52,0.03,2.593281,0.000874,3.43505,0.00092,64.753,131.083,110.216,21.818,73317.130
S,3212,42.059,858.660,0.218,394.21,0.03,2.579693,0.000826,3.41976,0.00087,64.769,131.060,110.208,21.820,73316.802
S,3212,42.105,854.752,0.204,393.88,0.03,2.565799,0.000775,3.40420,0.00081,64.786,131.036,110.201,21.821,73316.475
S,3212,42.155,850.645,0.194,393.51,0.03,2.551106,0.000741,3.38784,0.00077,64.802,131.013,110.193,21.823,73316.147
S,3212,42.197,847.209,0.191,393.19,0.03,2.538738,0.000733,3.37415,0.00076,64.814,130.995,110.188,21.824,73315.901
S,3212,42.228,844.644,0.189,392.95,0.03,2.529472,0.000724,3.36394,0.00075,64.822,130.983,110.184,21.825,73315.737
S,3212,42.263,841.820,0.188,392.67,0.03,2.519261,0.000720,3.35269,0.00075,64.830,130.971,110.180,21.826,73315.573
S,3212,42.300,838.804,0.189,392.38,0.03,2.508362,0.000723,3.34068,0.00075,64.838,130.960,110.176,21.826,73315.410
S,3212,42.339,835.691,0.190,392.08,0.03,2.497135,0.000725,3.32828,0.00076,64.847,130.948,110.172,21.827,73315.246
S,3212,42.378,832.519,0.191,391.78,0.03,2.485731,0.000724,3.31565,0.00076,64.855,130.936,110.169,21.828,73315.082
S,3212,42.418,829.306,0.189,391.47,0.03,2.474221,0.000714,3.30285,0.00075,64.863,130.924,110.165,21.829,73314.918
S,3212,42.457,826.123,0.185,391.18,0.03,2.462863,0.000693,3.29017,0.00074,64.871,130.913,110.161,21.829,73314.754
